11步杀9331,3k5/2Pna4/3a4n/4N2R1/9/9/9/1r1p5/4p4/3K3R1 w
11步杀9332,2b1Rc1R1/1r2ak3/9/4p4/5Pb2/6N2/9/9/4p1r2/5K3 w
11步杀9333,2P1kc3/2PR3P1/9/6N2/9/9/9/3p5/1r2p4/3K2R2 w
11步杀9334,3k1P3/3ra4/1P7/4n4/4P1N1R/9/9/1r3p3/4p4/5K2R w
11步杀9373,9/2cka1NNP/3a3R1/4P1c2/5P3/4p1p2/3p3p1/2RnK1nrr/9/9 w
12步杀7111,3k1N3/2P6/3a4R/9/9/9/1r7/3p5/4p4/3K5 w
12步杀9136,3ak1bP1/4aR3/4b4/1Np6/9/9/9/B8/3r5/4K4 w
12步杀9264,9/7P1/3P1k1PN/1r7/1N7/9/4c4/1r3p3/4p4/5K1R1 w
12步杀9424,3k1P3/3c2R2/3N5/9/5c3/9/4n4/4p4/3p1p3/4K4 w
12步杀9425,1rPak4/7R1/4b4/4N4/9/9/9/9/2p1p4/3K5 w
12步杀9426,5k3/4a4/3P1a3/9/1rN3b2/9/9/9/2p1p4/3K3R1 w
12步杀9427,9/9/2P2k1nN/9/4R4/9/1r7/9/2p1p4/3K5 w
12步杀9429,1n1k5/5P1c1/9/2p1R1N2/9/9/7r1/5p3/4p4/5K3 w
12步杀9430,2b3P2/4a2r1/4k4/9/4N4/9/9/2RAB4/9/2BK1n1r1 w
12步杀9431,2n1k1r2/1P7/9/9/4NR3/9/9/1r1n5/9/5K3 w
12步杀9432,2P1k4/8R/5a3/4P2N1/9/5c3/4c4/3n5/4p1p2/5K3 w
12步杀9433,1P4P2/9/3k2N2/9/9/4R4/7r1/5p3/4p4/5K3 w
12步杀9434,2P3b2/1P4R2/4Nk3/9/9/9/7r1/5p3/4p4/5K3 w
12步杀9435,3a2R2/2N2k1P1/9/2P6/9/9/2r6/3p5/4p4/3K5 w
12步杀9436,5R3/9/3k2N2/2P6/3P2b2/9/9/5p3/4p1r2/5K3 w
12步杀9437,5Rb2/4k4/2P6/4N4/3P5/9/9/5p1r1/4p4/5K3 w
12步杀9438,3R5/9/1P3k3/6P2/8N/5n3/8r/5p3/4p4/5K3 w
12步杀9439,7P1/4k4/3P5/9/5R1nN/9/1r7/9/2p1p4/3K5 w
12步杀9440,6b2/3k5/3aPnN2/2R2P3/9/9/7r1/5p3/4p4/5K3 w
12步杀9441,9/1P2kcN2/1P3P3/3R5/9/9/1r7/3p5/4p4/3K5 w
12步杀9442,3R5/2P1k1P2/2P2a3/7c1/9/9/1r5N1/3p5/4p4/3K5 w
12步杀9443,5aR2/9/1PP1k1NP1/7c1/9/9/1r7/3p5/4p4/3K5 w
12步杀9444,6P2/3k5/2P2aN2/1c2R4/4P4/9/9/9/4p1r2/3c1K3 w
12步杀9445,2P5n/4k4/1P3P2N/3R5/9/9/1r7/3p5/4p4/3K5 w
12步杀9446,5k3/3R3P1/6P1N/9/4P4/7n1/8r/5p3/4p4/5K3 w
12步杀9447,1Pb3b2/5k3/1P2n1R2/5P2N/9/9/9/1r7/3p1p3/4K4 w
12步杀9448,2b1r1b2/9/2P1k4/3P1R3/3NP4/9/1r7/9/3p1p3/4K4 w
12步杀9449,9/9/1PckbRPP1/4c4/4N4/4p4/4r4/4r4/4n4/4K4 w
12步杀9450,2P6/3k2PP1/9/3PR4/9/9/1N7/1r1p5/4p4/3K5 w
12步杀9451,9/4k1PP1/2P6/3P1R3/9/9/1r4N2/3p5/4p4/3K5 w
12步杀9452,4k4/2R6/3aNPP2/5n3/4PP3/9/7r1/5p3/4p4/5K3 w
12步杀9453,3P2R2/4a1r2/3ak2Pb/9/4PP2N/9/9/2r6/3p1p3/4K4 w
12步杀9514,4k4/9/4NP3/6R2/3c5/3N5/9/3p5/1r1np4/3K5 w
12步杀9515,4R4/1c1k5/2c1Na1N1/9/4P1b1n/9/9/3pp4/4r4/3K5 w
12步杀9516,3R1N3/5c2c/2P1k4/9/5P3/9/9/5p3/4pNp1r/5K3 w
12步杀9569,5k3/4an3/1n7/4P2RN/1r7/9/9/3p5/4p4/3K3R1 w
