name,type_red,type_black,fen,branchs,steps,moves
车炮联攻.XQF,车炮,车双卒双士,3a5/3ka1r2/9/2p6/9/9/9/C8/1p2K4/R8 w,2,15,a0d0 e8d7 a2d2 d7e8 d2g2 e8d7 d0a0 d7e8 a0a8 d8d7 a8a4 d7d8 a4d4 e8d7 g2d2|a0d0 e8d7 a2d2 d7e8 d2d9 e8d7 d9d7 d8d9
运子取势.XQF,炮兵相,士象全,2b4C1/3P5/b2aka3/9/9/2B6/9/3K5/9/9 w,1,15,h9e9 a7c5 c4e2 c5a7 d2d1 a7c5 d1e1 c5a7 e1f1 a7c5 e9h9 f7e8 h9h0 e8d9 h0e0
逐个击破 红先胜.xqf,车炮,双炮士象全,2bak4/4a4/1c2bc3/9/5R3/9/9/9/4K4/C8 w,1,15,a0a9 e9f9 f5e5 f9f8 e1f1 b7b6 e5h5 b6e6 a9a8 e8d7 h5h8 f8f9 h8h9 f9f8 h9d9
金钥匙.XQF,双车马炮兵,双车双马多卒,4k4/3Rn4/3CN4/3np4/4P4/3p1R3/2r3r2/3p1p3/4K4/9 w,1,15,f4f9 e9f9 d8d9 f9f8 d7d8 f8f7 d9f9 f7e7 e5e6 e7d7 e6e7 d7d8 e7d7 d8d7 f9d9
铁壁合围 红先胜.xqf,马兵,马士象全,1Pba1kbn1/9/5a3/8N/9/9/9/9/4K4/9 w,1,15,i6g7 f9f8 b9c9 d9e8 e1e2 e8d7 c9d9 f7e8 d9e9 e8f7 e9f9 f7e8 f9g9 e8d9 g9h9
隔山观灯 红先胜.xqf,炮兵仕相,车双士,2P1ka3/4a4/9/9/9/9/9/5C3/r8/2B1KA3 w,1,15,f2a2 a1a0 e0e1 a0a1 e1e2 a1a0 f0e1 a0a1 e1d0 a1a0 e2e1 a0a1 e1e0 a1a0 a2g2
后生可畏 红先胜.xqf,车兵仕,车双士,3ak2r1/4a4/9/6P1R/9/9/9/9/9/4KA3 w,1,17,g6g7 h9g9 g7g8 g9f9 i6i8 f9h9 g8f8 h9g9 i8i6 g9h9 f8e8 d9e8 i6c6 e9d9 c6c9 d9d8 c9h9
孤军奋战 红先胜.xqf,兵相,单士,4k4/4a4/4P4/9/9/9/9/4B4/9/4K4 w,1,17,e0e1 e8f9 e7d7 e9d9 e1d1 f9e8 d7d8 d9e9 d1e1 e8d7 e1f1 d7e8 e2c0 e8d7 f1f2 d7e8 f2e2
弈海烟波_掘地见王母.XQF,双车双炮,双车马卒士象,2b1k4/2R6/2Ra5/2n6/1CC6/9/9/9/4p1rr1/5K3 w,1,17,b5b9 c9a7 c8c9 e9e8 c7c8 c6d8 c9e9 e8e9 c8c9 e9e8 c5c8 e8e7 c9e9 d7e8 e9e8 e7d7 b9d9
弈海烟波_直捣黄龙.XQF,车马双炮兵,双车双马双炮卒士象,1n1nk4/cc1P5/5a3/1N7/6b2/2R6/9/2C1p4/4r1r2/2C2K3 w,1,17,c4e4 e9f9 e4e9 f9f8 b6d7 g5e7 d8e8 a8e8 c2c8 b9d8 e9e8 f8f9 e8e9 f9e9 c8c9 e9e8 c0c8
