name,type_red,type_black,fen,branchs,steps,moves
单阻中线 闷攻纵杀(5).xqf,双车双炮双兵仕相全,双车马炮双卒士象全,4kab2/4a4/4b4/C3R1p2/r7p/2C3P2/4cr2P/4B4/4A2n1/1R2KAB2 w,1,11,b0b9 e8d9 c4c9 d9e8 c9c7 e8d9 e6e7 g9e7 a6e6 e7c9 c7e7
单阻中线 闷攻纵杀(7).xqf,双车马双炮三兵仕相全,双车马双炮卒士象全,3a1k3/2R1a4/3cb1n2/pC2N4/2b5R/4C1P2/P1r1P4/4B4/3rA4/c3KAB2 w,1,11,e6g7 d7g7 i5f5 g7f7 f5f7 e8f7 c8f8 f9f8 b6f6 f7e8 e4f4
单阻二线 闷攻横杀(13).xqf,车双马双炮双兵仕相全,车双马双炮双卒士象全,3ak4/2C1a4/b3b3n/pC4RNp/4N4/2Pn5/1c6P/4B4/3rA4/c3KAB2 w,1,11,e5d7 e8d7 g6g9 e7g9 h6f7 e9e8 b6b8 e8e7 c8c7 e7e8 f7d8
单阻二线 闷攻横杀(3).xqf,车马双炮兵仕双相,双车马炮三卒双士象,2b1ka3/C3a4/9/1N6p/6p2/2Pp3r1/C3R3n/4B4/4Ar3/2B1K2c1 w,1,11,a3d3 d4e4 a8a9 c9e7 e0d0 e8f7 d3d9 e9e8 a9a8 e8f8 d9d8
单阻二线 闷攻横杀(6).xqf,双车马双炮双兵仕相全,双车马双炮三卒士象全,2cak4/4a1R2/4br2b/pN5C1/6P1p/4p2C1/7RP/4B1n2/4Ar1c1/3AK1B2 w,1,11,h4f4 f7f4 h6f6 h1h0 h3h0 f4f6 g8f8 f6f8 b6c8 e9f9 h0h6
实战杀局欣赏06.XQF,双车马双炮双兵仕相全,双车马双炮多卒双士象,1rbaka2r/4n4/Cc7/p3p1p1p/9/6PN1/P1p4Cc/4B4/4A4/1RBAKR3 w,1,11,b0b6 e6e5 h4g6 i9h9 g6e5 e8c7 a7c7 h9h3 b6b7 b9b7 e5d7
实战杀局欣赏A1.XQF,双车马双炮多兵双相,双车双马炮三卒士象,4kCbC1/2R6/3a1c3/p3pn2p/1n7/6P2/P3P3P/6N2/3r1r3/2B1K1B1R w,1,11,f9f8 g9i7 f8i8 f6h7 i8g8 h7f8 c8c9 f8d9 g8g9 e9e8 c9c8
实战杀局欣赏A3.XQF,车马炮多兵仕相全,车双马多卒士象全,2baka3/4n4/2n6/p3p1P1p/6bN1/4P4/Pr2pR2P/4C4/4A4/2BAK1B2 w,1,11,f3f8 e8d6 e2i2 d9e8 i2i6 e9d9 i6i9 d9d8 h5g7 d8d7 i9h9
实战杀局欣赏A7.XQF,车马双炮多兵双仕相,车马炮多卒双士,3k1anCC/4a4/4R4/p3p3p/2p6/4P4/P1P5P/2Nr5/5p3/3AKAB1c w,1,11,i9g9 d9d8 h9h8 e8f7 e7f7 d8e8 g9g8 e8e9 f7f8 f9e8 g8g9
实战杀局欣赏B1.XQF,车马炮三兵仕双相,车双马炮双卒士,3R5/4k4/2Na4C/4p4/9/P8/3pP1P2/6n2/1r2A3c/2B1K1Bn1 w,1,11,d9d7 b1e1 e0d0 e1c1 d7h7 e8d8 c7e6 d8e8 h7e7 e8d8 e7e9
